RamanShift	Intensity
190	3539.972
191	3505.064
192	3464.865
193	3426.245
194	3370.054
195	3310.256
196	3254.333
197	3213.555
198	3178.051
199	3126.586
200	3080.685
201	3026.857
202	2980.043
203	2928.284
204	2874.75
205	2827.106
206	2773.429
207	2730.082
208	2678.852
209	2636.489
210	2600.946
211	2576.428
212	2565.085
213	2553.552
214	2544.163
215	2517.451
216	2476.613
217	2428.642
218	2377.727
219	2330.498
220	2276.416
221	2235.747
222	2197.808
223	2172.584
224	2142.161
225	2100.91
226	2058.677
227	2006.98
228	1962.527
229	1917.995
230	1884.157
231	1844.611
232	1795.818
233	1750.103
234	1697.189
235	1657.118
236	1621.015
237	1597.45
238	1566.823
239	1522.735
240	1477.085
241	1422.453
242	1378.732
243	1339.319
244	1315.688
245	1293.545
246	1269.874
247	1242.917
248	1194.311
249	1149.294
250	1120.758
251	1112.989
252	1090.812
253	1043.927
254	999.4197
255	968.5775
256	954.7456
257	936.4343
258	922.1389
259	910.595
260	902.3691
261	891.3214
262	868.353
263	843.3145
264	823.1384
265	806.0532
266	770.3167
267	715.6662
268	661.8699
269	619.6695
270	591.1741
271	556.1879
272	527.7634
273	493.8412
274	459.6862
275	428.9816
276	402.8295
277	385.9911
278	364.308
279	350.4025
280	341.0092
281	337.4488
282	324.0589
283	292.2473
284	262.1003
285	247.9003
286	245.9398
287	232.205
288	209.5761
289	184.3951
290	159.6869
291	147.8356
292	155.0596
293	174.6844
294	183.3537
295	180.4047
296	170.1563
297	154.5695
298	140.6918
299	137.3053
300	136.6081
301	124.982
302	108.0473
303	91.65626
304	80.1886
305	76.87766
306	84.57491
307	92.523
308	81.4129
309	64.16911
310	60.50885
311	70.40489
312	72.68237
313	58.35047
314	41.97647
315	35.01821
316	34.68276
317	33.46027
318	33.33685
319	33.71201
320	34.15708
321	32.20245
322	23.99579
323	19.85479
324	32.66457
325	52.01523
326	54.85934
327	38.5409
328	24.69675
329	24.95194
330	29.10973
331	26.07495
332	23.79328
333	26.86797
334	36.03085
335	48.24521
336	61.26758
337	81.40537
338	114.2275
339	143.0579
340	156.6253
341	156.6262
342	169.1812
343	193.4423
344	216.0187
345	230.2823
346	234.2354
347	234.9312
348	224.6484
349	206.6814
350	185.1105
351	169.4754
352	165.4684
353	162.8156
354	151.0934
355	143.9604
356	148.9878
357	162.6906
358	171.5605
359	173.5094
360	176.5492
361	183.3351
362	184.1577
363	172.1058
364	156.8432
365	151.637
366	156.4167
367	162.1055
368	166.767
369	169.7584
370	170.0088
371	166.0598
372	157.2027
373	147.4822
374	143.2766
375	145.1027
376	146.3302
377	144.6603
378	134.5246
379	110.2071
380	86.56361
381	76.81202
382	80.53519
383	80.86293
384	78.26625
385	74.0117
386	68.15515
387	65.01027
388	65.58266
389	73.13103
390	90.80899
391	110.3951
392	116.6831
393	106.246
394	100.4476
395	109.5497
396	118.0911
397	115.2663
398	105.7721
399	94.22247
400	85.49036
401	86.31274
402	99.62285
403	119.5705
404	141.1806
405	164.9012
406	193.5825
407	221.2006
408	256.4521
409	284.8115
410	299.2316
411	292.0719
412	275.179
413	257.825
414	242.2552
415	233.1609
416	229.7976
417	218.753
418	206.6427
419	201.9405
420	208.3041
421	222.1576
422	241.1162
423	256.5838
424	263.8217
425	260.5806
426	256.8539
427	249.9356
428	240.0705
429	227.8522
430	203.9121
431	165.8585
432	130.817
433	107.2146
434	103.7867
435	109.6259
436	127.1573
437	141.7592
438	148.1598
439	151.7681
440	153.8141
441	154.1883
442	158.526
443	159.2932
444	150.2449
445	135.1544
446	123.2851
447	119.2966
448	126.017
449	144.1028
450	160.36
451	159.976
452	152.9493
453	154.3803
454	162.4679
455	173.543
456	188.6683
457	216.4388
458	257.8083
459	296.2969
460	323.8973
461	333.004
462	339.3743
463	327.5912
464	298.7156
465	258.7109
466	226.3194
467	212.9542
468	204.5859
469	189.658
470	190.5688
471	211.2034
472	252.4188
473	308.3264
474	362.0574
475	396.988
476	401.7442
477	405.1726
478	421.3658
479	440.8006
480	467.115
481	487.5271
482	498.2507
483	496.5455
484	496.8788
485	499.4146
486	508.1645
487	523.3257
488	529.3537
489	516.4378
490	497.2351
491	489.5075
492	485.4644
493	471.2075
494	452.454
495	433.3639
496	419.3261
497	411.9057
498	412.8445
499	414.1385
500	403.9083
501	394.5001
502	395.6308
503	404.0441
504	410.0715
505	411.3459
506	405.5986
507	392.8452
508	383.8524
509	386.4153
510	392.1477
511	394.5585
512	390.1596
513	372.5385
514	349.1314
515	332.4514
516	329.213
517	335.8184
518	350.9478
519	364.7432
520	367.6728
521	366.3518
522	371.1201
523	375.384
524	376.3006
525	373.7464
526	369.852
527	366.8103
528	368.9035
529	378.0654
530	398.9402
531	434.2469
532	469.7634
533	500.2286
534	516.7783
535	534.5712
536	542.7379
537	543.8629
538	534.9565
539	518.6811
540	497.7723
541	473.0715
542	444.4041
543	423.084
544	406.8297
545	403.8756
546	403.3375
547	407.7495
548	410.5066
549	409.9019
550	406.6391
551	400.6657
552	389.3017
553	372.4652
554	349.6367
555	316.6189
556	282.9397
557	246.9521
558	219.9119
559	198.5678
560	190.5195
561	185.095
562	181.5314
563	189.5545
564	212.2466
565	233.5204
566	237.1194
567	231.8335
568	238.5868
569	246.0886
570	242.5117
571	227.0219
572	207.4428
573	188.8933
574	175.1266
575	169.2095
576	166.9762
577	161.1095
578	154.8859
579	141.8467
580	133.9863
581	144.7974
582	168.7936
583	182.6499
584	180.8881
585	176.9063
586	174.606
587	172.4317
588	171.7421
589	169.9355
590	165.502
591	157.6564
592	143.8166
593	129.3758
594	118.3125
595	114.9804
596	116.4001
597	122.626
598	129.4202
599	133.476
600	133.6714
601	128.1001
602	124.8204
603	136.9871
604	149.0811
605	139.9188
606	118.1933
607	107.822
608	112.124
609	119.9236
610	127.6509
611	127.4637
612	114.9032
613	100.8162
614	92.32446
615	94.83742
616	111.3279
617	134.7135
618	147.0463
619	150.6051
620	162.8878
621	179.1797
622	190.1028
623	189.7441
624	178.315
625	157.1183
626	137.3866
627	129.9901
628	132.8242
629	138.3067
630	146.3412
631	147.8561
632	144.8427
633	145.5087
634	147.5313
635	142.8309
636	130.3804
