RamanShift	Intensity
190	3929.631
191	3923.116
192	3913.487
193	3902.071
194	3888.326
195	3876.391
196	3869.628
197	3870.567
198	3875.137
199	3876.307
200	3877.24
201	3879.115
202	3880.901
203	3881.177
204	3879.221
205	3875.103
206	3869.832
207	3863.472
208	3856.838
209	3850.584
210	3841.243
211	3828.734
212	3812.38
213	3788.879
214	3764.73
215	3741.361
216	3724.284
217	3707.379
218	3688.265
219	3673.719
220	3659.257
221	3651.554
222	3645.067
223	3641.253
224	3633.344
225	3618.545
226	3600.485
227	3578.582
228	3558.615
229	3539.118
230	3524.774
231	3508.231
232	3487.803
233	3469.549
234	3450.372
235	3436.55
236	3420.974
237	3407.869
238	3394.914
239	3382.047
240	3370.928
241	3357.084
242	3345.057
243	3329.864
244	3315.28
245	3300.953
246	3288.419
247	3276.353
248	3257.464
249	3240.739
250	3226.471
251	3218.413
252	3209.957
253	3199.954
254	3188.698
255	3172.723
256	3156.151
257	3136.771
258	3118.406
259	3099.065
260	3080.446
261	3060.649
262	3033.152
263	3009.128
264	2986.858
265	2973.788
266	2964.744
267	2960.38
268	2954.395
269	2938.76
270	2920.84
271	2903.8
272	2890.754
273	2876.781
274	2863.995
275	2850.093
276	2833.269
277	2818.109
278	2800.817
279	2788.368
280	2778.602
281	2772.821
282	2759.486
283	2733.434
284	2704.617
285	2675.138
286	2654.009
287	2634.502
288	2622.091
289	2609.849
290	2595.485
291	2582.535
292	2568.301
293	2556.827
294	2544.375
295	2533.393
296	2518.008
297	2499.542
298	2480.701
299	2462.199
300	2448.483
301	2437.458
302	2429.943
303	2413.788
304	2389.672
305	2362.854
306	2338.549
307	2316.533
308	2288.281
309	2264.745
310	2239.511
311	2219.807
312	2199.424
313	2178.962
314	2161.923
315	2144.453
316	2131.841
317	2115.281
318	2101.664
319	2091.4
320	2087.083
321	2080.65
322	2064.62
323	2047.033
324	2029.7
325	2015.844
326	2000.58
327	1985.007
328	1961.441
329	1927.45
330	1897.533
331	1879.122
332	1873.38
333	1860.348
334	1844.298
335	1823.202
336	1799.679
337	1778.017
338	1760.741
339	1748.471
340	1731.74
341	1713.487
342	1683.496
343	1647.774
344	1620.919
345	1612.407
346	1609.908
347	1590.256
348	1569.201
349	1551.86
350	1541.676
351	1529.528
352	1515.683
353	1499.279
354	1478.697
355	1457.694
356	1431.191
357	1408.167
358	1386.664
359	1372.263
360	1358.442
361	1343.622
362	1332.416
363	1322.288
364	1315.994
365	1306.324
366	1296.901
367	1286.84
368	1277.676
369	1266.779
370	1253.121
371	1238.162
372	1218.779
373	1200.187
374	1179.173
375	1160.853
376	1141.189
377	1122.482
378	1107.176
379	1093.958
380	1085.17
381	1071.507
382	1060.248
383	1050.197
384	1043.508
385	1034.3
386	1021.228
387	1008.734
388	997.8472
389	989.2877
390	975.2438
391	961.826
392	951.6696
393	946.6477
394	937.1689
395	919.2318
396	900.0597
397	881.8391
398	867.952
399	850.8802
400	836.4596
401	821.9283
402	810.231
403	794.9401
404	771.7718
405	755.6493
406	751.9545
407	758.2174
408	758.7204
409	753.7679
410	740.8499
411	721.5682
412	702.4213
413	688.569
414	677.6542
415	661.8234
416	645.6324
417	620.6857
418	594.2035
419	570.8763
420	556.3484
421	551.936
422	557.5659
423	561.3865
424	543.738
425	519.1024
426	501.0165
427	493.4042
428	486.7709
429	482.1147
430	477.9255
431	472.6867
432	466.0872
433	453.4356
434	442.9591
435	442.432
436	449.3631
437	447.9613
438	435.8007
439	419.4592
440	403.4846
441	389.5944
442	375.9317
443	367.4278
444	359.7246
445	353.9478
446	340.6606
447	321.1031
448	303.3827
449	292.7565
450	284.3713
451	270.8004
452	259.3668
453	248.8748
454	242.0275
455	233.2828
456	225.171
457	219.1766
458	216.2205
459	213.8237
460	209.0027
461	202.7116
462	193.216
463	182.1854
464	168.2912
465	154.6076
466	141.1816
467	130.3826
468	115.9426
469	93.29011
470	75.36618
471	65.49949
472	67.42753
473	70.70277
474	77.17785
475	82.86526
476	86.46798
477	92.4995
478	102.4063
479	108.3097
480	107.2043
481	97.55618
482	82.0566
483	64.23858
484	48.76653
485	40.70194
486	37.44004
487	39.51484
488	45.02983
489	50.26873
490	55.31121
491	60.20381
492	61.91758
493	61.3004
494	56.22738
495	45.84203
496	31.72043
497	18.19788
498	8.797141
499	5.299562
500	5.791505
501	11.98949
502	20.04666
503	27.7378
504	32.21691
505	31.65349
506	29.46835
507	26.3286
508	21.35441
509	15.18889
510	10.61801
511	9.528008
512	10.72908
513	8.18
514	5.577396
515	7.976969
516	15.59818
517	22.80792
518	27.15271
519	31.24346
520	37.2499
521	40.23689
522	39.71693
523	34.67372
524	27.74497
525	20.83213
526	16.90477
527	17.82309
528	20.35896
529	23.0226
530	24.80088
531	23.81092
532	23.13701
533	26.81956
534	31.61809
535	34.80395
536	34.807
537	31.03409
538	24.27425
539	20.96614
540	24.09083
541	30.09254
542	36.26345
543	41.68742
544	46.20461
545	48.26505
546	50.60375
547	51.6652
548	52.53514
549	52.42635
550	49.83344
551	44.54591
552	38.5765
553	33.137
554	29.77026
555	27.21331
556	27.61544
557	29.43819
558	32.41267
559	33.87244
560	33.32008
561	32.41553
562	31.73048
563	31.93341
564	33.7852
565	34.90199
566	33.56784
567	30.17905
568	25.83569
569	21.35815
570	17.20865
571	14.32987
572	11.44905
573	9.067397
574	7.262266
575	5.717823
576	7.812459
577	15.24542
578	23.99986
579	28.62493
580	31.27148
581	38.33227
582	47.56898
583	58.04855
584	66.91134
585	73.39418
586	75.79864
587	73.00154
588	65.43082
589	57.47054
590	55.94651
591	55.94243
592	48.36365
593	38.64584
594	32.67134
595	32.88225
596	36.20338
597	42.24609
598	49.90202
599	57.34298
600	61.07678
601	59.74167
602	52.78973
603	43.62379
604	32.3945
605	18.91762
606	8.09566
607	-0.1213679
608	-1.380089
609	4.077227
610	16.41771
611	31.1342
612	44.3155
613	54.59034
614	62.69499
615	63.67754
616	60.79493
617	51.76143
618	41.27922
619	30.93533
620	19.85668
621	12.77512
622	13.60471
623	23.81754
624	35.763
625	44.08124
626	50.45207
627	55.18475
628	58.78769
629	66.92505
630	73.88764
631	77.71114
632	76.79446
633	74.00375
634	69.96336
635	67.52602
636	67.96622
637	69.59907
638	71.64945
639	72.05609
640	69.40178
641	64.2553
642	57.10873
643	50.66811
644	46.31987
645	44.74603
646	41.074
647	37.56376
648	36.68647
649	39.17196
650	42.02877
651	44.14864
652	47.14404
653	51.76021
654	53.12639
655	48.6943
656	40.96863
657	33.04442
658	27.35845
659	24.28687
660	24.9533
661	24.4829
662	24.11125
663	26.11722
664	30.88576
665	37.22004
666	44.06807
667	49.62815
668	53.10111
669	50.93025
670	41.67487
671	31.2233
672	28.00735
673	27.75136
674	18.84672
675	7.70494
676	4.216079
677	9.141613
