RamanShift	Intensity
190	5025.261
191	4956.231
192	4874.538
193	4799.206
194	4714.143
195	4637.55
196	4554.604
197	4473.539
198	4394.58
199	4294.833
200	4213.755
201	4129.415
202	4069.681
203	4012.548
204	3959.033
205	3910.182
206	3838.819
207	3772.445
208	3705.802
209	3655.389
210	3599.52
211	3537.056
212	3471.549
213	3381.751
214	3294.619
215	3201.902
216	3125.977
217	3054.339
218	2983.799
219	2923.116
220	2837.728
221	2767.088
222	2703.712
223	2664.054
224	2617.709
225	2554.897
226	2493.933
227	2425.648
228	2368.056
229	2298.342
230	2234.901
231	2170.976
232	2110.827
233	2062.264
234	2001.006
235	1954.454
236	1908.394
237	1874.64
238	1837.216
239	1791.787
240	1750.054
241	1706.431
242	1668.702
243	1613.452
244	1553.325
245	1489.677
246	1429.606
247	1383.814
248	1342.668
249	1316.898
250	1272.719
251	1224.658
252	1181.582
253	1151.973
254	1127.232
255	1089.223
256	1050.034
257	997.4861
258	942.3856
259	883.6094
260	828.1837
261	787.2785
262	760.5876
263	745.4318
264	699.3268
265	642.582
266	603.611
267	594.0855
268	583.7125
269	544.8904
270	500.6367
271	460.907
272	431.6747
273	396.6726
274	360.9972
275	327.4914
276	296.1789
277	275.4513
278	250.3855
279	239.8754
280	246.9273
281	271.2062
282	285.2835
283	271.5344
284	244.8965
285	221.9173
286	199.5687
287	169.5596
288	137.7938
289	105.7684
290	75.94089
291	60.38319
292	59.79572
293	73.87901
294	79.79388
295	80.5306
296	83.9835
297	90.94866
298	95.37048
299	93.42097
300	88.31118
301	87.8114
302	88.0738
303	81.57784
304	68.34624
305	56.00811
306	50.48032
307	47.67638
308	39.83094
309	32.24775
310	25.73907
311	22.01552
312	16.74217
313	8.805742
314	4.52056
315	9.072779
316	15.58386
317	11.63907
318	-1.026679
319	-16.75833
320	-30.74128
321	-35.83749
322	-27.64691
323	-9.202746
324	12.3931
325	32.20942
326	44.10867
327	46.38589
328	57.95629
329	87.45004
330	118.3553
331	141.7064
332	152.0889
333	158.6866
334	159.6392
335	168.6447
336	188.6916
337	216.946
338	252.8026
339	284.1443
340	305.7434
341	315.8608
342	337.4126
343	367.0721
344	392.9432
345	408.4505
346	416.0733
347	428.1706
348	434.8876
349	440.9816
350	443.1923
351	444.5815
352	444.9247
353	438.6571
354	425.273
355	403.0121
356	371.5952
357	336.532
358	296.56
359	261.1288
360	230.3043
361	207.7683
362	192.1714
363	168.1256
364	154.0943
365	149.6225
366	159.4581
367	174.17
368	190.1137
369	201.9711
370	205.4648
371	199.3286
372	190.5079
373	173.8712
374	149.0016
375	120.0512
376	88.50221
377	60.19629
378	38.24751
379	20.29857
380	14.50886
381	11.79931
382	17.70405
383	24.8908
384	32.20574
385	37.70863
386	39.32385
387	40.00319
388	42.16867
389	47.27475
390	60.22504
391	75.79994
392	86.86896
393	89.90607
394	91.34312
395	94.02906
396	97.08151
397	104.4494
398	109.4715
399	105.125
400	96.84822
401	100.6998
402	119.5433
403	143.3738
404	165.5251
405	187.8277
406	216.978
407	243.4776
408	272.6693
409	293.1094
410	304.899
411	302.5303
412	289.8066
413	270.3342
414	255.8242
415	258.9103
416	272.577
417	277.6623
418	277.4843
419	284.985
420	300.8462
421	311.9063
422	312.5049
423	301.4566
424	281.4154
425	257.0837
426	234.2381
427	220.1458
428	210.4488
429	208.1051
430	207.6687
431	204.7198
432	201.7508
433	200.0315
434	194.6037
435	177.2897
436	153.1829
437	134.6974
438	126.9622
439	115.3159
440	93.28958
441	73.43344
442	57.32916
443	51.12527
444	47.59882
445	50.80131
446	54.99556
447	59.31721
448	62.08466
449	61.56466
450	63.04531
451	72.19081
452	81.85899
453	84.30072
454	82.7537
455	88.80826
456	101.4544
457	112.2846
458	117.7408
459	124.1001
460	136.2987
461	149.9746
462	165.8719
463	180.9246
464	198.652
465	216.1655
466	239.4236
467	265.5548
468	292.834
469	318.9702
470	341.236
471	368.6063
472	391.5666
473	419.1358
474	443.2438
475	470.0417
476	493.4738
477	514.6934
478	531.9742
479	546.9924
480	568.4878
481	588.4709
482	612.0363
483	631.3935
484	651.4684
485	666.2796
486	678.8437
487	687.6388
488	690.9417
489	692.3981
490	683.0433
491	659.7267
492	630.8317
493	608.7031
494	597.6671
495	584.0766
496	569.358
497	550.9224
498	528.3914
499	508.2768
500	492.5102
501	480.5768
502	460.0244
503	438.7721
504	411.0135
505	386.4638
506	372.5815
507	375.0036
508	382.6846
509	386.2586
510	388.8106
511	390.4768
512	387.6913
513	379.5363
514	366.7236
515	351.4523
516	336.8607
517	322.5877
518	311.1533
519	311.092
520	325.4837
521	348.4534
522	370.0392
523	389.2183
524	410.2126
525	425.1315
526	433.7359
527	434.5788
528	444.347
529	467.9037
530	497.8057
531	529.4598
532	560.549
533	602.3001
534	636.1604
535	667.7404
536	684.5628
537	694.9394
538	694.6802
539	688.6498
540	680.0494
541	666.5191
542	649.7924
543	630.4672
544	604.0301
545	580.5396
546	559.1685
547	545.4285
548	527.2763
549	507.8264
550	482.4067
551	452.9059
552	425.6625
553	402.246
554	382.6745
555	351.8542
556	323.5482
557	293.1957
558	270.2373
559	250.754
560	239.7968
561	224.9073
562	205.2836
563	188.8753
564	177.952
565	170.3418
566	156.8321
567	145.967
568	137.6591
569	135.7316
570	136.9763
571	140.2564
572	136.3071
573	123.5921
574	110.8858
575	102.604
576	97.86424
577	94.37849
578	93.77082
579	92.34161
580	91.38744
581	86.99758
582	84.09113
583	92.34338
584	111.4263
585	129.392
586	139.567
587	146.3022
588	153.5967
589	153.469
590	144.4009
591	131.6855
592	128.0088
593	128.2523
594	117.2624
595	99.90416
596	89.97581
597	91.9162
598	94.28169
599	92.11766
600	86.57697
601	76.65662
602	67.02065
603	58.32618
604	57.40751
605	66.07317
606	82.40874
607	95.78709
608	104.0675
609	116.283
610	131.802
611	143.3123
612	147.8148
613	146.1094
614	142.3508
615	134.9208
616	126.471
617	118.2709
618	111.3049
619	106.4286
620	98.75429
621	90.17314
622	80.6039
623	73.01305
624	71.68811
625	78.49561
626	90.01066
627	99.94245
628	111.6093
629	128.8527
630	146.251
631	165.5759
632	178.4343
633	184.7587
634	180.125
635	170.421
636	157.8279
637	147.7406
638	144.0036
639	144.6701
640	146.5206
641	154.0902
642	169.4524
643	184.904
644	194.1567
645	196.135
646	201.1003
647	205.2794
648	205.9756
649	202.0266
650	196.0915
651	189.56
652	183.3835
653	178.7344
654	173.1891
655	162.7187
656	154.3079
657	149.3414
658	150.9429
659	156.2962
660	164.2839
661	168.4164
662	169.7994
663	178.3543
664	195.2242
665	216.7208
666	239.919
667	261.4649
668	278.4765
669	291.5842
670	306.9644
671	317.8653
672	330.9392
673	338.6079
674	345.3015
675	345.4025
676	338.6854
677	326.1312
678	314.8154
679	307.6325
680	296.3164
681	280.0568
682	258.5836
683	232.9084
684	209.6441
685	191.0012
686	178.0309
687	158.9518
688	144.6468
689	131.4674
690	125.6342
691	123.062
692	124.1924
693	120.0555
694	109.8767
695	97.08945
696	84.24805
697	69.82468
698	54.78313
699	44.83651
700	41.09558
701	48.04916
702	63.79593
703	81.55382
704	89.94233
705	90.50417
706	95.78787
707	101.6099
708	105.7168
709	106.3899
710	104.5037
711	101.1172
712	103.5124
713	113.8724
714	119.8518
715	114.6533
716	102.7557
717	87.36496
718	77.10964
719	78.33692
720	87.19838
721	91.44383
722	93.70065
723	97.59912
724	100.3051
725	101.2037
726	96.9565
727	81.08212
728	56.80529
729	41.31283
730	43.20193
731	49.42869
732	52.72335
733	54.16773
734	50.96218
735	50.45911
736	59.9593
737	71.97047
738	79.36496
739	81.47008
740	82.10453
741	81.9136
742	88.32498
743	98.06809
744	104.5431
745	104.846
746	101.0246
747	94.13109
748	89.59094
749	90.77789
750	94.51936
751	98.62974
752	102.1078
753	103.1692
754	103.8651
755	106.4155
756	111.4273
757	119.7989
758	131.2487
759	145.8503
760	163.494
761	191.4407
762	222.7106
763	256.7313
764	286.4334
765	324.8139
766	365.902
767	417.1106
768	470.7877
769	527.7885
770	581.6879
771	633.4479
772	689.4916
773	743.8814
774	811.548
775	871.7641
776	937.5078
777	981.3661
778	1018.583
779	1025.558
780	1026.969
781	1006.002
782	967.1959
783	911.877
784	844.6156
785	782.8904
786	723.9465
787	683.1669
788	645.7601
789	613.9467
790	574.3922
791	524.0912
792	480.2352
793	451.1718
794	424.8512
795	381.8807
796	342.5193
797	305.35
798	286.5287
799	279.7302
800	283.9562
801	273.3362
802	254.2263
803	226.6922
804	201.3024
805	186.8212
806	186.944
807	181.7675
808	175.7511
809	179.3925
810	195.9573
811	224.8651
812	260.4282
813	289.2818
814	301.7375
815	312.1356
816	328.1555
817	342.5529
818	354.8885
819	362.673
820	367.1424
821	373.2235
822	390.5136
823	411.6784
824	434.2738
825	452.3173
826	468.4371
827	480.4347
828	502.7653
829	527.0468
830	550.1668
831	568.5705
832	594.4913
833	622.9357
834	657.6563
835	695.3099
836	748.6991
837	814.0223
838	891.9582
839	973.0154
840	1061.729
841	1151.655
842	1252.234
843	1367.204
844	1475.325
845	1574.421
846	1642.114
847	1697.698
848	1717.413
849	1729.669
850	1704.17
851	1654.864
852	1576.374
853	1472.388
854	1369.34
855	1263.979
856	1176.554
857	1065.337
858	967.7092
859	873.8448
860	809.1968
861	740.8942
862	686.9753
863	619.9587
864	559.4798
865	500.7109
866	461.3885
867	431.178
868	416.0795
869	401.5756
870	384.5127
871	369.6063
872	357.601
873	343.3977
874	324.0306
